XOR Setting 1-5,SED2 Setting 1-5,XOR Setting 1-6,SED2 Setting 1-6,XOR Settings 2-5,EDCon Setting 2-5,XOR Settings 2-6,EDCon Setting 2-6
,,,,,,,
149500,150000,283000,300000,170000,180000,291000,301000
,,,,,,,
148400,149000,283000,299500,169000,190000,290500,300500
,,,,,,,
149200,150000,283000,299000,170000,200000,290000,300000
,,,,,,,
149300,150000,283000,298500,170000,190000,288500,298500
,,,,,,,
149400,150000,282500,298000,170000,180000,289000,299000
,,,,,,,
148100,149000,283300,298500,169000,190000,290500,300500
,,,,,,,
148100,151000,282500,299500,171000,200000,290500,300500
,,,,,,,
148000,149000,282500,298300,169000,190000,290500,300500
,,,,,,,
148200,149000,282500,299500,169000,185000,290500,300500
,,,,,,,
148200,149000,282000,298500,169000,180000,289500,299500
