XOR-CON Setting 2-3,EDCON Setting 2-3,AESDecrypt Setting 2-3,XOR-CON Setting 2-4,EDCON Setting 2-4,AESDecrypt Setting 2-4
,,,,,
9300,9500,10000,35500,36000,45500
,,,,,
9200,9400,10000,35400,35900,47500
,,,,,
9200,9400,10000,35400,37000,50000
,,,,,
9200,9400,9900,35400,37050,45450
,,,,,
9400,9400,9900,35400,35900,45300
,,,,,
9200,9300,10000,35300,35900,45450
,,,,,
9100,9250,10000,35400,35900,45500
,,,,,
9000,9250,9800,35300,35900,45200
,,,,,
9000,9100,9900,35300,36100,45200
,,,,,
9000,9100,10000,35300,35800,45250
